gene,n_total,n_matched,match_rate
ATXN2,10,1,0.1
RPGR,136,98,0.7205882352941176
G6PD,196,156,0.7959183673469388
TCOF1,89,76,0.8539325842696629
WT1,72,62,0.8611111111111112
OPA1,117,106,0.905982905982906
MAPT,54,49,0.9074074074074074
COL4A5,806,744,0.9230769230769231
CDKL5,213,197,0.9248826291079812
APC,93,88,0.946236559139785
CDKN2A,53,51,0.9622641509433962
HTT,30,29,0.9666666666666667
MECP2,310,303,0.9774193548387097
STXBP1,184,180,0.9782608695652174
TPM1,54,53,0.9814814814814815
ANK2,154,152,0.987012987012987
LRRK2,79,78,0.9873417721518988
PTCH1,177,175,0.9887005649717514
PAX6,95,94,0.9894736842105263
MUTYH,204,202,0.9901960784313726
BTK,127,126,0.9921259842519685
SCN5A,146,145,0.9931506849315068
GLB1,158,157,0.9936708860759493
ARID1B,308,307,0.9967532467532467
ALK,95,95,1.0
ATP7B,226,226,1.0
ATXN3,4,4,1.0
ATM,260,260,1.0
BARD1,55,55,1.0
BEST1,241,241,1.0
BMPR1A,28,28,1.0
ATXN1,19,19,1.0
CDH1,179,179,1.0
CASQ2,16,16,1.0
CACNA1S,89,89,1.0
CDK4,15,15,1.0
CHD7,403,403,1.0
CHD8,144,144,1.0
CHEK2,18,18,1.0
CFTR,281,281,1.0
COL1A1,570,570,1.0
COL1A2,567,567,1.0
COL2A1,603,603,1.0
COL3A1,586,586,1.0
CPT2,40,40,1.0
CRB1,197,197,1.0
CYP2C19,3,3,1.0
CYP2D6,10,10,1.0
DICER1,105,105,1.0
DMD,385,385,1.0
DPYD,14,14,1.0
DSC2,20,20,1.0
DSG2,46,46,1.0
DSP,143,143,1.0
EPCAM,30,30,1.0
AXIN2,31,31,1.0
BRCA1,669,669,1.0
ADA,55,55,1.0
ACTC1,22,22,1.0
APOB,382,382,1.0
APP,46,46,1.0
ABCD1,286,286,1.0
ACTA2,31,31,1.0
ABCA4,678,678,1.0
FUS,29,29,1.0
FMR1,19,19,1.0
FLCN,27,27,1.0
FH,169,169,1.0
FGFR3,71,71,1.0
FGFR2,98,98,1.0
FBN1,1551,1551,1.0
F9,224,224,1.0
F8,422,422,1.0
GREM1,3,3,1.0
GRIN2B,290,290,1.0
GRIN2A,293,293,1.0
GDAP1,35,35,1.0
GJB1,162,162,1.0
GALT,143,143,1.0
GAA,261,261,1.0
HEXA,77,77,1.0
HBB,98,98,1.0
IDUA,119,119,1.0
HFE,4,4,1.0
ITGA2B,87,87,1.0
JUP,11,11,1.0
KCNE1,10,10,1.0
IL2RG,76,76,1.0
KCNE2,4,4,1.0
KCNH2,191,191,1.0
KCNQ1,237,237,1.0
GRN,19,19,1.0
HADHA,29,29,1.0
HBA1,35,35,1.0
GJB2,153,153,1.0
GLA,566,566,1.0
LMNA,223,223,1.0
LDLR,735,735,1.0
KIT,53,53,1.0
KCNQ2,390,390,1.0
KCNJ2,56,56,1.0
MLH1,222,222,1.0
MITF,31,31,1.0
MEFV,17,17,1.0
MPZ,91,91,1.0
MSH2,438,438,1.0
MSH6,147,147,1.0
MTHFR,61,61,1.0
MYBPC3,69,69,1.0
MYH11,24,24,1.0
MMACHC,45,45,1.0
MEN1,156,156,1.0
MYL2,12,12,1.0
MYH7,396,396,1.0
MYL3,4,4,1.0
MYLK,46,46,1.0
NF1,507,507,1.0
NF2,13,13,1.0
MYO7A,210,210,1.0
NBN,31,31,1.0
NPC1,220,220,1.0
BRCA2,823,823,1.0
BRIP1,61,61,1.0
C9ORF72,3,3,1.0
CACNA1C,125,125,1.0
ASS1,80,80,1.0
ACADM,141,141,1.0
ACADVL,154,154,1.0
PDGFRA,34,34,1.0
PCSK9,41,41,1.0
PARK7,11,11,1.0
PALB2,86,86,1.0
OTC,276,276,1.0
PAH,494,494,1.0
NLRP3,70,70,1.0
PMP22,36,36,1.0
POLE,76,76,1.0
POLG,133,133,1.0
PRKN,33,33,1.0
PRKAG2,37,37,1.0
PROC,68,68,1.0
PMS2,80,80,1.0
PINK1,19,19,1.0
PEX1,48,48,1.0
PSEN2,17,17,1.0
PSEN1,136,136,1.0
PTEN,263,263,1.0
RAD51C,86,86,1.0
RAG2,76,76,1.0
RB1,104,104,1.0
RAD51D,13,13,1.0
RAG1,84,84,1.0
RHO,139,139,1.0
RET,110,110,1.0
RUNX2,44,44,1.0
RS1,158,158,1.0
RYR1,297,297,1.0
PROS1,43,43,1.0
POLD1,48,48,1.0
PHOX2B,11,11,1.0
SCN2A,431,431,1.0
SCN1A,1061,1061,1.0
RYR2,284,284,1.0
SCN8A,311,311,1.0
SDHD,30,30,1.0
SDHA,47,47,1.0
SDHB,82,82,1.0
SDHC,20,20,1.0
SLCO1B1,11,11,1.0
SMAD3,43,43,1.0
SMAD4,35,35,1.0
SMN1,26,26,1.0
SMPD1,157,157,1.0
SERPINA1,68,68,1.0
SERPINC1,78,78,1.0
SHANK3,72,72,1.0
STK11,54,54,1.0
SOD1,116,116,1.0
SNCA,8,8,1.0
SYNGAP1,190,190,1.0
TARDBP,25,25,1.0
TGFBR1,61,61,1.0
TGFBR2,114,114,1.0
SUFU,12,12,1.0
TMEM43,17,17,1.0
TNFRSF1A,44,44,1.0
TNNT2,51,51,1.0
TNNI3,58,58,1.0
TP53,383,383,1.0
TPMT,1,1,1.0
TSC1,107,107,1.0
PKP2,37,37,1.0
TSC2,374,374,1.0
UBE3A,64,64,1.0
VHL,202,202,1.0
USH2A,458,458,1.0
VWF,210,210,1.0
WAS,71,71,1.0
