gene,segments,breakpoints,accepted,match_before,match_after,n_variants
WT1,1,8:-73,True,0.0139,0.8611,72
NLRP3,1,9:+2,True,0.0286,1.0,70
MUTYH,2,0:+14;38:+25,True,0.0588,0.9902,204
MAPT,1,4:-75,True,0.0926,0.9074,54
MECP2,1,0:-12,True,0.0935,0.9774,310
UBE3A,1,14:+3,True,0.0938,1.0,64
ATXN2,1,0:+0,False,0.1,0.7,10
OPA1,2,0:+0;188:-55,True,0.1795,0.906,117
PAX6,2,0:+0;53:-14,True,0.3579,0.9895,95
SCN5A,2,33:+0;1088:+1,True,0.5205,0.9932,146
CACNA1C,4,6:+0;992:+20;1288:+48;1869:+83,True,0.552,1.0,125
ARID1B,2,14:+0;1137:-53,True,0.5552,0.9968,308
PKP2,2,0:+0;459:+44,True,0.6216,1.0,37
RPGR,1,0:+0,False,0.7206,0.7206,136
G6PD,1,0:+0,False,0.7959,0.7959,196
TCOF1,1,0:+0,False,0.8539,1.0,89
COL4A5,1,0:+0,False,0.9231,1.0,806
CDKL5,1,0:+0,False,0.9249,0.9249,213
APC,1,0:+0,False,0.9462,0.9462,93
CDKN2A,1,0:+0,False,0.9623,0.9623,53
HTT,1,0:+0,False,0.9667,0.9667,30
STXBP1,1,0:+0,False,0.9783,0.9783,184
TPM1,1,0:+0,False,0.9815,0.9815,54
ANK2,1,0:+0,False,0.987,0.987,154
LRRK2,1,0:+0,False,0.9873,0.9873,79
PTCH1,1,0:+0,False,0.9887,0.9887,177
BTK,1,0:+0,False,0.9921,0.9921,127
GLB1,1,0:+0,False,0.9937,0.9937,158
TNNT2,1,0:+0,False,1.0,1.0,51
ACADVL,1,0:+0,False,1.0,1.0,154
CDH1,1,0:+0,False,1.0,1.0,179
MYH7,1,0:+0,False,1.0,1.0,396
ACTC1,1,0:+0,False,1.0,1.0,22
PTEN,1,0:+0,False,1.0,1.0,263
POLG,1,0:+0,False,1.0,1.0,133
SERPINC1,1,0:+0,False,1.0,1.0,78
RYR1,1,0:+0,False,1.0,1.0,297
TNNI3,1,0:+0,False,1.0,1.0,58
DICER1,1,0:+0,False,1.0,1.0,105
IDUA,1,0:+0,False,1.0,1.0,119
RS1,1,0:+0,False,1.0,1.0,158
HBB,1,0:+0,False,1.0,1.0,98
RAG2,1,0:+0,False,1.0,1.0,76
MYO7A,1,0:+0,False,1.0,1.0,210
F8,1,0:+0,False,1.0,1.0,422
ADA,1,0:+0,False,1.0,1.0,55
SCN2A,1,0:+0,False,1.0,1.0,431
KCNQ1,1,0:+0,False,1.0,1.0,237
ITGA2B,1,0:+0,False,1.0,1.0,87
RAG1,1,0:+0,False,1.0,1.0,84
F9,1,0:+0,False,1.0,1.0,224
SCN8A,1,0:+0,False,1.0,1.0,311
SCN1A,1,0:+0,False,1.0,1.0,1061
VHL,1,0:+0,False,1.0,1.0,202
FBN1,1,0:+0,False,1.0,1.0,1551
MLH1,1,0:+0,False,1.0,1.0,222
VWF,1,0:+0,False,1.0,1.0,210
BRCA2,1,0:+0,False,1.0,1.0,823
ABCA4,1,0:+0,False,1.0,1.0,678
CFTR,1,0:+0,False,1.0,1.0,281
GJB2,1,0:+0,False,1.0,1.0,153
USH2A,1,0:+0,False,1.0,1.0,458
PMS2,1,0:+0,False,1.0,1.0,80
BRCA1,1,0:+0,False,1.0,1.0,669
ATP7B,1,0:+0,False,1.0,1.0,226
SMAD4,1,0:+0,False,1.0,1.0,35
RET,1,0:+0,False,1.0,1.0,110
CPT2,1,0:+0,False,1.0,1.0,40
CHEK2,1,0:+0,False,1.0,1.0,18
ACADM,1,0:+0,False,1.0,1.0,141
MEFV,1,0:+0,False,1.0,1.0,17
FGFR3,1,0:+0,False,1.0,1.0,71
IL2RG,1,0:+0,False,1.0,1.0,76
BRIP1,1,0:+0,False,1.0,1.0,61
